 Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.104:2092     36.159.96.208:443      ESTABLISHED     26364
  TCP    192.168.0.104:2093     36.159.96.208:443      ESTABLISHED     26364
  TCP    192.168.0.104:2094     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2095     120.233.17.180:80      ESTABLISHED     23220
  TCP    192.168.0.104:2098     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2100     183.232.231.174:80     FIN_WAIT_1      24792
  TCP    192.168.0.104:2101     120.232.42.191:80      TIME_WAIT       0
  TCP    192.168.0.104:2102     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2104     112.46.57.97:80        ESTABLISHED     23220
  TCP    192.168.0.104:2105     112.46.57.145:443      TIME_WAIT       0
  TCP    192.168.0.104:2106     112.53.42.28:8081      TIME_WAIT       0
  TCP    192.168.0.104:2108     183.2.143.108:443      TIME_WAIT       0
  TCP    192.168.0.104:2238     112.49.61.218:443      CLOSE_WAIT      23220
  TCP    192.168.0.104:2239     120.241.186.232:443    CLOSE_WAIT      23220
  TCP    192.168.0.104:2240     112.53.11.92:443       CLOSE_WAIT      23220
  TCP    192.168.0.104:2241     120.241.186.232:443    CLOSE_WAIT      23220
  TCP    192.168.0.104:2242     120.241.186.232:443    CLOSE_WAIT      23220
  TCP    192.168.0.104:2718     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:2736     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:2775     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:2799     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:2800     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:2824     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:2833     112.53.36.112:80       ESTABLISHED     6104
  TCP    192.168.0.104:2841     112.53.36.112:80       ESTABLISHED     6104
  TCP    192.168.0.104:2925     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3093     134.122.171.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3105     134.122.171.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3122     69.176.88.177:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:3159     111.63.96.52:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3177     180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:3184     111.63.96.52:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3192     111.63.96.52:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3211     111.63.96.52:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3220     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3271     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3280     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3295     180.215.133.49:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:3321     119.29.29.29:53        ESTABLISHED     34044
  TCP    192.168.0.104:3342     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3359     69.176.88.199:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:3364     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3393     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3403     111.63.96.53:443       CLOSE_WAIT      1472
  TCP    192.168.0.104:3453     180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:3554     69.176.88.199:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:3555     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:3587     118.107.12.204:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:3598     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3606     119.91.147.124:7826    ESTABLISHED     30904
  TCP    192.168.0.104:3645     223.252.199.69:6003    ESTABLISHED     26364
  TCP    192.168.0.104:3660     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3687     121.51.131.46:443      ESTABLISHED     24908
  TCP    192.168.0.104:3751     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3759     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3783     116.63.110.231:443     ESTABLISHED     30904
  TCP    192.168.0.104:3827     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3849     69.176.88.199:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:3887     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:3953     69.176.88.199:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:3990     54.192.18.112:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:3993     180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:3998     54.192.18.112:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:4004     54.192.18.112:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:4010     54.192.18.112:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:4017     54.192.18.112:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:4023     54.192.18.112:443      CLOSE_WAIT      35920
  TCP    192.168.0.104:4107     69.176.88.199:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:4195     120.241.131.84:80      ESTABLISHED     6104
  TCP    192.168.0.104:4246     134.122.172.189:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:4331     104.18.35.184:443      ESTABLISHED     23760
  TCP    192.168.0.104:4492     180.215.201.173:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:4496     120.233.183.165:443    ESTABLISHED     24908
  TCP    192.168.0.104:4754     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:4881     180.215.201.53:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:4986     180.215.133.71:443     CLOSE_WAIT      1472
  TCP    192.168.0.104:4998     119.29.29.29:53        ESTABLISHED     34044
  TCP    192.168.0.104:5010     36.158.241.63:443      CLOSE_WAIT      23220
  TCP    192.168.0.104:5155     134.122.172.199:443    CLOSE_WAIT      1472
  TCP    192.168.0.104:5304     119.29.29.29:53        ESTABLISHED     34044
  TCP    192.168.0.104:5335     69.176.88.199:443      CLOSE_WAIT      1472
  TCP    192.168.0.104:5400     120.241.21.112:443     ESTABLISHED     6104
  TCP    192.168.0.104:5468     119.29.29.29:53        ESTABLISHED     34044
  TCP    192.168.0.104:5545     134.122.172.199:443    CLOSE_WAIT      1472
